,Product,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6770.peg.1010,hypothetical protein,fig|287.6613.peg.986,fig|287.6611.peg.992,fig|287.6614.peg.1074,fig|287.6616.peg.971,fig|287.6612.peg.1010,fig|287.6618.peg.1018,fig|287.6615.peg.1011,fig|287.6617.peg.1041,fig|287.6621.peg.1083,fig|287.6619.peg.999,fig|287.6622.peg.5047,fig|287.6623.peg.5513,fig|287.6624.peg.1075,fig|287.6625.peg.1073,fig|287.6657.peg.1096,fig|287.6655.peg.4219,fig|287.6631.peg.1052,fig|287.6628.peg.999,fig|287.6632.peg.995,fig|287.6629.peg.1087,fig|287.6635.peg.998,fig|287.6633.peg.1074,fig|287.6634.peg.1076,fig|287.6637.peg.1126,fig|287.6636.peg.992,fig|287.6620.peg.5465,fig|287.6630.peg.1009,fig|287.6639.peg.1077,fig|287.6638.peg.1002,fig|287.6627.peg.983
fig|287.6770.peg.1011,DNA polymerase III delta subunit (EC 2.7.7.7),fig|287.6613.peg.987,fig|287.6611.peg.993,fig|287.6614.peg.1075,fig|287.6616.peg.972,fig|287.6612.peg.1011,fig|287.6618.peg.1019,fig|287.6615.peg.1012,fig|287.6617.peg.1042,fig|287.6621.peg.1084,fig|287.6619.peg.1000,fig|287.6622.peg.5046,fig|287.6623.peg.5512,fig|287.6624.peg.1076,fig|287.6625.peg.1074,fig|287.6657.peg.1097,fig|287.6655.peg.4218,fig|287.6631.peg.1053,fig|287.6628.peg.1000,fig|287.6632.peg.996,fig|287.6629.peg.1088,fig|287.6635.peg.999,fig|287.6633.peg.1075,fig|287.6634.peg.1077,fig|287.6637.peg.1127,fig|287.6636.peg.993,fig|287.6620.peg.5464,fig|287.6630.peg.1010,fig|287.6639.peg.1078,fig|287.6638.peg.1003,fig|287.6627.peg.984
fig|287.6770.peg.1012,LPS-assembly lipoprotein LptE,fig|287.6613.peg.988,fig|287.6611.peg.994,fig|287.6614.peg.1076,fig|287.6616.peg.973,fig|287.6612.peg.1012,fig|287.6618.peg.1020,fig|287.6615.peg.1013,fig|287.6617.peg.1043,fig|287.6621.peg.1085,fig|287.6619.peg.1001,fig|287.6622.peg.5045,fig|287.6623.peg.5511,fig|287.6624.peg.1077,fig|287.6625.peg.1075,fig|287.6657.peg.1098,fig|287.6655.peg.4217,fig|287.6631.peg.1054,fig|287.6628.peg.1001,fig|287.6632.peg.997,fig|287.6629.peg.1089,fig|287.6635.peg.1000,fig|287.6633.peg.1076,fig|287.6634.peg.1078,fig|287.6637.peg.1128,fig|287.6636.peg.994,fig|287.6620.peg.5463,fig|287.6630.peg.1011,fig|287.6639.peg.1079,fig|287.6638.peg.1004,fig|287.6627.peg.985
fig|287.6770.peg.1013,Leucyl-tRNA synthetase (EC 6.1.1.4),fig|287.6613.peg.989,fig|287.6611.peg.995,fig|287.6614.peg.1077,fig|287.6616.peg.974,fig|287.6612.peg.1013,fig|287.6618.peg.1021,fig|287.6615.peg.1014,fig|287.6617.peg.1044,fig|287.6621.peg.1086,fig|287.6619.peg.1002,fig|287.6622.peg.5044,fig|287.6623.peg.5510,fig|287.6624.peg.1078,fig|287.6625.peg.1076,fig|287.6657.peg.1099,fig|287.6655.peg.4216,fig|287.6631.peg.1055,fig|287.6628.peg.1002,fig|287.6632.peg.998,fig|287.6629.peg.1090,fig|287.6635.peg.1001,fig|287.6633.peg.1077,fig|287.6634.peg.1079,fig|287.6637.peg.1129,fig|287.6636.peg.995,fig|287.6620.peg.5462,fig|287.6630.peg.1012,fig|287.6639.peg.1080,fig|287.6638.peg.1005,fig|287.6627.peg.986
fig|287.6770.peg.1014,FIG00960788: hypothetical protein,,fig|287.6611.peg.996,,,fig|287.6612.peg.1014,fig|287.6618.peg.1022,,,,fig|287.6619.peg.1003,fig|287.6622.peg.5043,fig|287.6623.peg.5509,,,,fig|287.6655.peg.4215,,,fig|287.6632.peg.999,,fig|287.6635.peg.1002,,,fig|287.6637.peg.1130,fig|287.6636.peg.996,,fig|287.6630.peg.1013,,,
fig|287.6770.peg.1015,hypothetical protein,,fig|287.6611.peg.997,,,fig|287.6612.peg.1015,fig|287.6618.peg.1023,,,,fig|287.6619.peg.1004,fig|287.6622.peg.5042,fig|287.6623.peg.5508,,,,fig|287.6655.peg.4214,,,fig|287.6632.peg.1000,,fig|287.6635.peg.1003,,,fig|287.6637.peg.1131,fig|287.6636.peg.997,,fig|287.6630.peg.1014,,,
fig|287.6770.peg.1016,Uncharacterized DUF218 membrane protein,fig|287.6613.peg.991,fig|287.6611.peg.998,fig|287.6614.peg.1079,fig|287.6616.peg.976,fig|287.6612.peg.1016,fig|287.6618.peg.1024,fig|287.6615.peg.1016,fig|287.6617.peg.1046,fig|287.6621.peg.1088,fig|287.6619.peg.1005,fig|287.6622.peg.5041,fig|287.6623.peg.5507,fig|287.6624.peg.1080,fig|287.6625.peg.1078,fig|287.6657.peg.1101,fig|287.6655.peg.4213,fig|287.6631.peg.1057,fig|287.6628.peg.1004,fig|287.6632.peg.1001,fig|287.6629.peg.1092,fig|287.6635.peg.1004,fig|287.6633.peg.1079,fig|287.6634.peg.1081,fig|287.6637.peg.1132,fig|287.6636.peg.998,fig|287.6620.peg.5460,fig|287.6630.peg.1015,fig|287.6639.peg.1082,fig|287.6638.peg.1007,fig|287.6627.peg.988
fig|287.6770.peg.1017,Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE,fig|287.6613.peg.992,fig|287.6611.peg.999,fig|287.6614.peg.1080,fig|287.6616.peg.977,fig|287.6612.peg.1017,fig|287.6618.peg.1025,fig|287.6615.peg.1017,fig|287.6617.peg.1047,fig|287.6621.peg.1089,fig|287.6619.peg.1006,fig|287.6622.peg.5040,fig|287.6623.peg.5506,fig|287.6624.peg.1081,fig|287.6625.peg.1079,fig|287.6657.peg.1102,fig|287.6655.peg.4212,fig|287.6631.peg.1058,fig|287.6628.peg.1005,fig|287.6632.peg.1002,fig|287.6629.peg.1093,fig|287.6635.peg.1005,fig|287.6633.peg.1080,fig|287.6634.peg.1082,fig|287.6637.peg.1133,fig|287.6636.peg.999,fig|287.6620.peg.5459,fig|287.6630.peg.1016,fig|287.6639.peg.1083,fig|287.6638.peg.1008,fig|287.6627.peg.989
fig|287.6770.peg.1018,Magnesium and cobalt efflux protein CorC,fig|287.6613.peg.993,fig|287.6611.peg.1000,fig|287.6614.peg.1081,fig|287.6616.peg.978,fig|287.6612.peg.1018,fig|287.6618.peg.1026,fig|287.6615.peg.1018,fig|287.6617.peg.1048,fig|287.6621.peg.1090,fig|287.6619.peg.1007,fig|287.6622.peg.5039,fig|287.6623.peg.5505,fig|287.6624.peg.1082,fig|287.6625.peg.1080,fig|287.6657.peg.1103,fig|287.6655.peg.4211,fig|287.6631.peg.1059,fig|287.6628.peg.1006,fig|287.6632.peg.1003,fig|287.6629.peg.1094,fig|287.6635.peg.1006,fig|287.6633.peg.1081,fig|287.6634.peg.1083,fig|287.6637.peg.1134,fig|287.6636.peg.1000,fig|287.6620.peg.5458,fig|287.6630.peg.1017,fig|287.6639.peg.1084,fig|287.6638.peg.1009,fig|287.6627.peg.990
fig|287.6770.peg.1019,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly",fig|287.6613.peg.994,fig|287.6611.peg.1001,fig|287.6614.peg.1082,fig|287.6616.peg.979,fig|287.6612.peg.1019,fig|287.6618.peg.1027,fig|287.6615.peg.1019,fig|287.6617.peg.1049,fig|287.6621.peg.1091,fig|287.6619.peg.1008,fig|287.6622.peg.5038,fig|287.6623.peg.5504,fig|287.6624.peg.1083,fig|287.6625.peg.1081,fig|287.6657.peg.1104,fig|287.6655.peg.4210,fig|287.6631.peg.1060,fig|287.6628.peg.1007,fig|287.6632.peg.1004,fig|287.6629.peg.1095,fig|287.6635.peg.1007,fig|287.6633.peg.1082,fig|287.6634.peg.1084,fig|287.6637.peg.1135,fig|287.6636.peg.1001,fig|287.6620.peg.5457,fig|287.6630.peg.1018,fig|287.6639.peg.1085,fig|287.6638.peg.1010,fig|287.6627.peg.991
fig|287.6770.peg.101,T6SS PAAR-repeat protein,,,,fig|287.6616.peg.100,,,,,,fig|287.6619.peg.102,fig|287.6622.peg.154,fig|287.6623.peg.154,,,,,,,,,,,,,,,,,,
fig|287.6770.peg.1020,"Phosphate starvation-inducible protein PhoH, predicted ATPase",fig|287.6613.peg.995,fig|287.6611.peg.1002,fig|287.6614.peg.1083,fig|287.6616.peg.980,fig|287.6612.peg.1020,fig|287.6618.peg.1028,fig|287.6615.peg.1020,fig|287.6617.peg.1050,fig|287.6621.peg.1092,fig|287.6619.peg.1009,fig|287.6622.peg.5037,fig|287.6623.peg.5503,fig|287.6624.peg.1084,fig|287.6625.peg.1082,fig|287.6657.peg.1105,fig|287.6655.peg.4209,fig|287.6631.peg.1061,fig|287.6628.peg.1008,fig|287.6632.peg.1005,fig|287.6629.peg.1096,fig|287.6635.peg.1008,fig|287.6633.peg.1083,fig|287.6634.peg.1085,fig|287.6637.peg.1136,fig|287.6636.peg.1002,fig|287.6620.peg.5456,fig|287.6630.peg.1019,fig|287.6639.peg.1086,fig|287.6638.peg.1011,fig|287.6627.peg.992
fig|287.6770.peg.1021,tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3),fig|287.6613.peg.996,fig|287.6611.peg.1003,fig|287.6614.peg.1084,fig|287.6616.peg.981,fig|287.6612.peg.1021,fig|287.6618.peg.1029,fig|287.6615.peg.1021,fig|287.6617.peg.1051,fig|287.6621.peg.1093,fig|287.6619.peg.1010,fig|287.6622.peg.5036,fig|287.6623.peg.5502,fig|287.6624.peg.1085,fig|287.6625.peg.1083,fig|287.6657.peg.1106,fig|287.6655.peg.4208,fig|287.6631.peg.1062,fig|287.6628.peg.1009,fig|287.6632.peg.1006,fig|287.6629.peg.1097,fig|287.6635.peg.1009,fig|287.6633.peg.1084,fig|287.6634.peg.1086,fig|287.6637.peg.1137,fig|287.6636.peg.1003,fig|287.6620.peg.5455,fig|287.6630.peg.1020,fig|287.6639.peg.1087,fig|287.6638.peg.1012,fig|287.6627.peg.993
fig|287.6770.peg.1022,hypothetical protein,fig|287.6613.peg.997,fig|287.6611.peg.1004,fig|287.6614.peg.1085,fig|287.6616.peg.982,fig|287.6612.peg.1022,fig|287.6618.peg.1030,fig|287.6615.peg.1022,fig|287.6617.peg.1052,fig|287.6621.peg.1094,fig|287.6619.peg.1011,fig|287.6622.peg.5035,fig|287.6623.peg.5501,fig|287.6624.peg.1086,fig|287.6625.peg.1084,fig|287.6657.peg.1107,fig|287.6655.peg.4207,fig|287.6631.peg.1063,fig|287.6628.peg.1010,fig|287.6632.peg.1007,fig|287.6629.peg.1098,fig|287.6635.peg.1010,fig|287.6633.peg.1085,fig|287.6634.peg.1087,fig|287.6637.peg.1138,fig|287.6636.peg.1004,fig|287.6620.peg.5454,fig|287.6630.peg.1021,fig|287.6639.peg.1088,fig|287.6638.peg.1013,fig|287.6627.peg.994
fig|287.6770.peg.1023,"FOG: TPR repeat, SEL1 subfamily",fig|287.6613.peg.998,fig|287.6611.peg.1005,fig|287.6614.peg.1086,fig|287.6616.peg.983,fig|287.6612.peg.1023,fig|287.6618.peg.1031,fig|287.6615.peg.1023,fig|287.6617.peg.1053,fig|287.6621.peg.1095,fig|287.6619.peg.1012,fig|287.6622.peg.5034,fig|287.6623.peg.5500,fig|287.6624.peg.1087,fig|287.6625.peg.1085,fig|287.6657.peg.1108,fig|287.6655.peg.4206,fig|287.6631.peg.1064,fig|287.6628.peg.1011,fig|287.6632.peg.1008,fig|287.6629.peg.1099,fig|287.6635.peg.1011,fig|287.6633.peg.1086,fig|287.6634.peg.1088,fig|287.6637.peg.1139,fig|287.6636.peg.1005,fig|287.6620.peg.5453,fig|287.6630.peg.1022,fig|287.6639.peg.1089,fig|287.6638.peg.1014,fig|287.6627.peg.995
fig|287.6770.peg.1024,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",fig|287.6613.peg.999,fig|287.6611.peg.1006,fig|287.6614.peg.1087,fig|287.6616.peg.984,fig|287.6612.peg.1024,fig|287.6618.peg.1032,fig|287.6615.peg.1024,fig|287.6617.peg.1054,fig|287.6621.peg.1096,fig|287.6619.peg.1013,fig|287.6622.peg.5033,fig|287.6623.peg.5499,fig|287.6624.peg.1088,fig|287.6625.peg.1086,fig|287.6657.peg.1109,fig|287.6655.peg.4205,fig|287.6631.peg.1065,fig|287.6628.peg.1012,fig|287.6632.peg.1009,fig|287.6629.peg.1100,fig|287.6635.peg.1012,fig|287.6633.peg.1087,fig|287.6634.peg.1089,fig|287.6637.peg.1140,fig|287.6636.peg.1006,fig|287.6620.peg.5452,fig|287.6630.peg.1023,fig|287.6639.peg.1090,fig|287.6638.peg.1015,fig|287.6627.peg.996
fig|287.6770.peg.1025,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),fig|287.6613.peg.1000,fig|287.6611.peg.1007,fig|287.6614.peg.1088,fig|287.6616.peg.985,fig|287.6612.peg.1025,fig|287.6618.peg.1033,fig|287.6615.peg.1025,fig|287.6617.peg.1055,fig|287.6621.peg.1097,fig|287.6619.peg.1014,fig|287.6622.peg.5032,fig|287.6623.peg.5498,fig|287.6624.peg.1089,fig|287.6625.peg.1087,fig|287.6657.peg.1110,fig|287.6655.peg.4204,fig|287.6631.peg.1066,fig|287.6628.peg.1013,fig|287.6632.peg.1010,fig|287.6629.peg.1101,,fig|287.6633.peg.1088,fig|287.6634.peg.1090,fig|287.6637.peg.1141,fig|287.6636.peg.1007,fig|287.6620.peg.5451,fig|287.6630.peg.1024,fig|287.6639.peg.1091,fig|287.6638.peg.1016,fig|287.6627.peg.997
fig|287.6770.peg.1026,Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7),fig|287.6613.peg.1001,fig|287.6611.peg.1008,fig|287.6614.peg.1089,fig|287.6616.peg.986,fig|287.6612.peg.1026,fig|287.6618.peg.1034,fig|287.6615.peg.1026,fig|287.6617.peg.1056,fig|287.6621.peg.1098,fig|287.6619.peg.1015,fig|287.6622.peg.5031,fig|287.6623.peg.5497,fig|287.6624.peg.1090,fig|287.6625.peg.1088,fig|287.6657.peg.1111,fig|287.6655.peg.4203,fig|287.6631.peg.1067,fig|287.6628.peg.1014,fig|287.6632.peg.1011,fig|287.6629.peg.1102,fig|287.6635.peg.1014,fig|287.6633.peg.1089,fig|287.6634.peg.1091,fig|287.6637.peg.1142,fig|287.6636.peg.1008,fig|287.6620.peg.5450,fig|287.6630.peg.1025,fig|287.6639.peg.1092,fig|287.6638.peg.1017,fig|287.6627.peg.998
fig|287.6770.peg.1027,Two-component system sensor histidine kinase,,,,,,,,,,,,,,,,,,,,,,,,,,fig|287.6620.peg.5449,,,,
fig|287.6770.peg.1028,Two-component system sensor histidine kinase,,,,,fig|287.6612.peg.1028,,,,,,,,,,,,,,,,,,,,,fig|287.6620.peg.5448,,,,
fig|287.6770.peg.1029,"Transcriptional regulator, AcrR family",fig|287.6613.peg.1003,fig|287.6611.peg.1010,fig|287.6614.peg.1091,fig|287.6616.peg.988,fig|287.6612.peg.1029,fig|287.6618.peg.1036,fig|287.6615.peg.1028,fig|287.6617.peg.1058,fig|287.6621.peg.1100,fig|287.6619.peg.1017,fig|287.6622.peg.5029,fig|287.6623.peg.5495,fig|287.6624.peg.1092,fig|287.6625.peg.1090,fig|287.6657.peg.1113,fig|287.6655.peg.4201,fig|287.6631.peg.1069,fig|287.6628.peg.1016,fig|287.6632.peg.1013,fig|287.6629.peg.1104,fig|287.6635.peg.1016,fig|287.6633.peg.1091,fig|287.6634.peg.1093,fig|287.6637.peg.1144,fig|287.6636.peg.1010,fig|287.6620.peg.5447,fig|287.6630.peg.1028,fig|287.6639.peg.1094,fig|287.6638.peg.1019,fig|287.6627.peg.1000
fig|287.6770.peg.102,hypothetical protein,fig|287.6613.peg.103,fig|287.6611.peg.105,fig|287.6614.peg.116,fig|287.6616.peg.101,fig|287.6612.peg.111,fig|287.6618.peg.100,fig|287.6615.peg.109,fig|287.6617.peg.101,fig|287.6621.peg.104,fig|287.6619.peg.103,fig|287.6622.peg.155,fig|287.6623.peg.155,fig|287.6624.peg.117,fig|287.6625.peg.104,fig|287.6657.peg.175,fig|287.6655.peg.103,fig|287.6631.peg.107,fig|287.6628.peg.111,fig|287.6632.peg.102,fig|287.6629.peg.108,fig|287.6635.peg.101,fig|287.6633.peg.104,fig|287.6634.peg.116,fig|287.6637.peg.161,fig|287.6636.peg.105,fig|287.6620.peg.100,fig|287.6630.peg.101,fig|287.6639.peg.116,fig|287.6638.peg.109,fig|287.6627.peg.104
fig|287.6770.peg.1030,Acyl-CoA dehydrogenase,fig|287.6613.peg.1004,fig|287.6611.peg.1011,fig|287.6614.peg.1092,fig|287.6616.peg.989,fig|287.6612.peg.1030,fig|287.6618.peg.1037,fig|287.6615.peg.1029,fig|287.6617.peg.1059,fig|287.6621.peg.1101,fig|287.6619.peg.1018,fig|287.6622.peg.5028,fig|287.6623.peg.5494,fig|287.6624.peg.1093,fig|287.6625.peg.1091,fig|287.6657.peg.1114,fig|287.6655.peg.4200,fig|287.6631.peg.1070,fig|287.6628.peg.1017,fig|287.6632.peg.1014,fig|287.6629.peg.1105,fig|287.6635.peg.1017,fig|287.6633.peg.1092,fig|287.6634.peg.1094,fig|287.6637.peg.1145,fig|287.6636.peg.1011,fig|287.6620.peg.5446,fig|287.6630.peg.1029,fig|287.6639.peg.1095,fig|287.6638.peg.1020,fig|287.6627.peg.1001
fig|287.6770.peg.1031,Thioesterase,fig|287.6613.peg.1005,fig|287.6611.peg.1012,fig|287.6614.peg.1093,fig|287.6616.peg.990,fig|287.6612.peg.1031,fig|287.6618.peg.1038,fig|287.6615.peg.1030,fig|287.6617.peg.1060,fig|287.6621.peg.1102,fig|287.6619.peg.1019,fig|287.6622.peg.5027,fig|287.6623.peg.5493,fig|287.6624.peg.1094,fig|287.6625.peg.1092,fig|287.6657.peg.1115,fig|287.6655.peg.4199,fig|287.6631.peg.1071,fig|287.6628.peg.1018,,fig|287.6629.peg.1106,fig|287.6635.peg.1018,fig|287.6633.peg.1093,fig|287.6634.peg.1095,fig|287.6637.peg.1146,fig|287.6636.peg.1012,fig|287.6620.peg.5445,fig|287.6630.peg.1030,fig|287.6639.peg.1096,fig|287.6638.peg.1021,fig|287.6627.peg.1002
